UrunKodu;Kategori;UrunAciklamasi;UrunAciklamasiEn;BirimFiyat;MaliyetFiyati;EklenmeTarihi;FiyatTL;FiyatUSD;FiyatEUR
LT-G0200;Belli Değil;"Laboratuar Etüvü, 30 litre kapasiteli, 
ortam sıcaklığı ile 200°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 2 adet ayarlanabilir raf ile birlikte verilmektedir. 220 V, 50-60 Hz, 1 ph";Laboratory oven, 30 L capacity, ambient to 200°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  2 adjustable shelves. 220 V, 50-60 Hz, 1 ph;0,00;0,00;2025-09-04 15:23:18.020;0,00;870,00;810,00
LT-G0201;Belli Değil;"Laboratuar Etüvü, 50 litre kapasiteli, 
ortam sıcaklığı ile 200°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 2 adet ayarlanabilir raf ile birlikte verilmektedir. 220 V, 50-60 Hz, 1 ph";Laboratory oven, 50 L capacity, ambient to 200°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  2 adjustable shelves. 220 V, 50-60 Hz, 1 ph;0,00;33810,00;2025-09-04 15:23:18.021;0,00;930,00;861,00
LT-G0202;Belli Değil;"Laboratuar Etüvü, 120 litre kapasiteli, 
ortam sıcaklığı ile 200°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 2 adet ayarlanabilir raf ile birlikte verilmektedir. 
220 V, 50-60 Hz, 1 ph";"Laboratory oven, 120 L capacity, ambient to 200°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  2 adjustable shelves. 
220 V, 50-60 Hz, 1 ph";0,00;18284,50;2025-09-04 15:23:18.022;0,00;1020,00;945,00
LT-G0202/H;Belli Değil;"Laboratuar Etüvü, 120 litre kapasiteli, 
ortam sıcaklığı ile 300°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 2 adet ayarlanabilir raf ile birlikte verilmektedir. 220 V, 50-60 Hz, 1 ph";Laboratory oven, 120 L capacity, ambient to 300°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  2 adjustable shelves. 220 V, 50-60 Hz, 1 ph;0,00;18284,50;2025-09-04 15:23:18.023;0,00;1200,00;1112,00
LT-G0203;Belli Değil;"Laboratuar Etüvü, 250 litre kapasiteli, 
ortam sıcaklığı ile 200°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 3 adet ayarlanabilir raf ile birlikte verilmektedir. 220 V, 50-60 Hz, 1 ph";Laboratory oven, 250 L capacity, ambient to 200°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  3 adjustable shelves. 220 V, 50-60 Hz, 1 ph;0,00;23379,89;2025-09-04 15:23:18.024;0,00;1500,00;1500,00
LT-G0203/H;Belli Değil;"Laboratuar Etüvü, 250 litre kapasiteli, 
ortam sıcaklığı ile 300°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 3 adet ayarlanabilir raf ile birlikte verilmektedir. 220 V, 50-60 Hz, 1 ph";Laboratory oven, 250 L capacity, ambient to 300°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  3 adjustable shelves. 220 V, 50-60 Hz, 1 ph;0,00;23379,89;2025-09-04 15:23:18.025;0,00;1562,00;1550,00
LT-G0204;Belli Değil;"Laboratuar Etüvü, 500 litre kapasiteli, 
ortam sıcaklığı ile 200°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 4 adet ayarlanabilir raf ile birlikte verilmektedir. 380 V, 50-60 Hz, 3 ph";Laboratory oven, 500 L capacity, ambient to 200°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  4 adjustable shelves. 380 V, 50-60 Hz, 3 ph;0,00;35220,50;2025-09-04 15:23:18.026;0,00;2062,00;1812,00
LT-G0204/H;Belli Değil;"Laboratuar Etüvü, 500 litre kapasiteli, 
ortam sıcaklığı ile 300°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 4 adet ayarlanabilir raf ile birlikte verilmektedir. 380 V, 50-60 Hz, 3 ph";Laboratory oven, 500 L capacity, ambient to 300°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  4 adjustable shelves. 380 V, 50-60 Hz, 3 ph;0,00;35220,50;2025-09-04 15:23:18.027;0,00;2312,00;1944,00
LT-G0205;Belli Değil;"Laboratuar Etüvü, 700 litre kapasiteli, 
ortam sıcaklığı ile 200°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 4 adet ayarlanabilir raf ile birlikte verilmektedir. 380 V, 50-60 Hz, 3 ph";Laboratory oven, 700 L capacity, ambient to 200°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  4 adjustable shelves. 380 V, 50-60 Hz, 3 ph;0,00;59000,00;2025-09-04 15:23:18.028;0,00;2375,00;2166,00
LT-G0205/H;Belli Değil;"Laboratuar Etüvü, 700 litre kapasiteli, 
ortam sıcaklığı ile 300°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 4 adet ayarlanabilir raf ile birlikte verilmektedir. 380 V, 50-60 Hz, 3 ph";Laboratory oven, 700 L capacity, ambient to 300°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  4 adjustable shelves. 380 V, 50-60 Hz, 3 ph;0,00;59000,00;2025-09-04 15:23:18.029;0,00;2450,00;2361,00
